sp_id	latitude	longitude
1	59.94311313043838	30.286266210533828
2	59.93346905822502	30.249947268327066
3	59.94894152836466	30.275919856126983
4	59.94217192037121	30.236281546580624
5	59.93900309196093	30.201230915697995
6	59.93257841644924	30.273412051571707
7	59.94360614188644	30.279377667747212
8	59.94445333549282	30.286266665787625
9	59.94463259981162	30.285913391324975
10	59.931140094617746	30.237919970318362
11	59.927477199300895	30.241611149585257
12	59.957043247631766	30.229289507744078
13	59.936087767280846	30.246239604450203
14	59.92911868515261	30.24974250585761
15	59.95117381107453	30.26416445299459
16	59.93114823094193	30.2577031777905
17	59.94935357531045	30.27661894246761
18	59.93373841115447	30.268514174022215
19	59.944748000312295	30.280719629071353
20	59.952195583559515	30.25779289487833
21	59.944352897749404	30.281155345174373
22	59.94159885121152	30.240784109991644
23	59.943519631864035	30.26747982805083
24	59.934477957748626	30.237630811134874
25	59.92871948178242	30.240437155564578
26	59.93173612388229	30.245784316898533
27	59.93909179684813	30.263449876294473
28	59.952948794729245	30.254025273418414
29	59.95383102578305	30.231505536238647
30	59.94268408339302	30.234142806100195
31	59.95168553088671	30.239180895867975
32	59.927839224753235	30.241824083488037
33	59.93697311226588	30.236944967263245
34	59.942705437939956	30.28673551526612
35	59.937472507884266	30.215705779101246
36	59.945764620496284	30.26239556293743
37	59.95781133560539	30.214375172712238
38	59.94242196611984	30.285634523078567
39	59.93260351433953	30.24022124159722
40	59.94728935255518	30.26430715420279
41	59.9315810031933	30.258200717068483
42	59.9479681090848	30.278277844042044
43	59.932911336698474	30.23664808635726
44	59.944662315514464	30.27865855897623
45	59.942910214365455	30.263015449854013
46	59.95109024026499	30.229064990456873
47	59.94692947962588	30.279138987605666
48	59.944736486377984	30.2903426121102
49	59.95552981683214	30.218312149504914
50	59.94301653516341	30.284626786763827
51	59.946871024063555	30.219448753282414
52	59.95240731400213	30.256888226415263
53	59.9287057403067	30.248172415328245
54	59.952203869076314	30.257798839048345
55	59.93105860240744	30.240259896354537
56	59.94584145155687	30.20826510944192
57	59.94048805243386	30.270356358880502
58	59.944444067840436	30.286283260368304
59	59.94559357728625	30.261689631476134
60	59.951134343536935	30.24323150471316
61	59.94342413071754	30.23563361386926
62	59.95266337773256	30.254859708921902
63	59.94302921753744	30.288391834945163
64	59.93685159013078	30.238396575587487
65	59.93840396166028	30.286559073562966
66	59.94730777237763	30.216268161573034
67	59.94072381586828	30.266881719111037
68	59.93509970129862	30.236299109760314
69	59.94190759392382	30.28121122918061
70	59.942696777422356	30.208760552065822
71	59.94460953171233	30.23430629850194
72	59.93967893289262	30.269991183195714
73	59.93670249255097	30.261818965596778
74	59.937797096399116	30.2873313901379
75	59.92956055378774	30.242458468836105
76	59.93019346505565	30.25644810495908
77	59.94364144038812	30.263249210112203
78	59.93485104132887	30.26494541612028
79	59.946094654051194	30.281012721805162
80	59.95491093959293	30.22508138769539
81	59.95004185409104	30.224470534494255
82	59.94430668151265	30.2694250904386
83	59.94234906681236	30.284696322675348
84	59.93373672784737	30.268462068219208
